,NAICS12,INDEX ITEM DESCRIPTION
0,111110,"Soybean farming, field and seed production"
1,111120,"Canola farming, field and seed production"
2,111120,"Flaxseed farming, field and seed production"
3,111120,"Mustard seed farming, field and seed production"
4,111120,"Oilseed farming (except soybean), field and seed production"
5,111120,"Rapeseed farming, field and seed production"
6,111120,"Safflower farming, field and seed production"
7,111120,"Sesame farming, field and seed production"
8,111120,"Sunflower farming, field and seed production"
9,111130,"Bean farming, dry, field and seed production"
10,111130,"Cowpea farming, dry, field and seed production"
11,111130,"Garbanzo farming, dry, field and seed production"
12,111130,"Lentil farming, dry, field and seed production"
13,111130,"Lima bean farming, dry, field and seed production"
14,111130,"Pea farming, dry, field and seed production"
15,111140,"Wheat farming, field and seed production"
16,111150,"Corn farming (except sweet corn), field and seed production"
17,111150,"Popcorn farming, field and seed production"
18,111160,"Rice (except wild rice) farming, field and seed production"
19,111191,"Oilseed and grain combination farming, field and seed production"
20,111199,"Barley farming, field and seed production"
21,111199,Broomcorn farming
22,111199,Buckwheat farming
23,111199,"Milo farming, field and seed production"
24,111199,"Oat farming, field and seed production"
25,111199,"Rye farming, field and seed production"
26,111199,"Sorghum farming, field and seed production"
27,111199,"Wild rice farming, field and seed production"
28,111211,"Potato farming, field and seed potato production"
29,111211,"Sweet potato farming, field and seed potato production"
30,111211,"Vegetable and melon farming, potato dominant crop, field and seed production"
31,111211,"Vegetable and potato farming, potato dominant crop, field and seed potato production"
32,111211,"Yam farming, field and seed production"
33,111219,"Acorn squash farming, field, bedding plant and seed production"
34,111219,"Artichoke farming, field, bedding plant and seed production"
35,111219,"Asparagus farming, field, bedding plant and seed production"
36,111219,"Bean (except dry) farming, field and seed production"
37,111219,"Beet farming (except sugar beets), field, bedding plant and seed production"
38,111219,"Broccoli farming, field, bedding plant and seed production"
39,111219,"Brussel sprout farming, field, bedding plant and seed production"
40,111219,"Butternut squash farming, field, bedding plant and seed production"
41,111219,"Cabbage farming, field, bedding plant and seed production"
42,111219,"Cantaloupe farming, field, bedding plant and seed production"
43,111219,"Carrot farming, field, bedding plant and seed production"
44,111219,"Casaba melon farming, field, bedding plant and seed production"
45,111219,"Cassava farming, field and seed casava production"
46,111219,"Cauliflower farming, field, bedding plant and seed production"
47,111219,"Celery farming, field, bedding plant and seed production"
48,111219,"Chinese pea farming, bedding plant and seed production"
49,111219,"Chive farming, field, bedding plant and seed production"
50,111219,"Collard farming, field, bedding plant and seed production"
51,111219,"Cowpea (except dry) farming, field and seed production"
52,111219,"Crenshaw melon farming, field, bedding plant and seed production"
53,111219,"Cucumber farming (except under cover), field, bedding plant and seed production"
54,111219,"Dill farming, field and seed production"
55,111219,"Eggplant farming (except under cover), field, bedding plant and seed production"
56,111219,"Endive farming (except under cover), field, bedding plant and seed production"
